No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
6	331	-291.912	-292.3114	-292.7817	-0.39939925	0.4703052	-289.05829	-287.4415	-287.44779
6	332	-287.11658	-287.43659	-287.80706	-0.32000118	0.37047012	-284.36559	-282.3834	-280.99851
6	333	-340.47692	-336.60499	-337.78705	3.8719281	1.1820539	-337.81481	-327.5306	-327.5253
6	334	-269.2303	-269.30387	-269.17424	-0.073569644	-0.12962327	-266.25919	-263.8867	-259.65782
6	335	-346.95273	-346.68238	-347.3025	0.27035523	0.62012083	-344.46096	-339.60641	-339.82079
6	336	-272.4967	-272.13532	-272.70864	0.36138867	0.57332513	-269.58582	-263.79318	-263.79406
6	337	-250.02525	-250.59293	-250.77212	-0.56768398	0.17919341	-246.75599	-246.84667	-243.90368
6	338	-299.29468	-299.32893	-299.87621	-0.034250751	0.54728239	-296.54476	-291.69308	-291.67152
6	339	-454.90144	-451.43089	-446.9672	3.4705516	-4.4636965	-445.94621	-442.83505	-433.78326
6	340	-222.03282	-221.6503	-222.27052	0.38251666	0.62021263	-218.11018	-215.81682	-215.81251
6	341	-383.97881	-382.01105	-382.87495	1.9677615	0.86389698	-381.42405	-374.40445	-374.30479
6	342	-269.72681	-270.2489	-270.59152	-0.52209146	0.3426223	-266.72121	-265.3373	-265.34397
6	343	-440.86877	-435.95893	-436.77768	4.9098403	0.81874609	-430.975	-427.02747	-427.98901
6	344	-394.09063	-391.90907	-392.76144	2.1815537	0.85236768	-388.04429	-383.51206	-383.74118
6	345	-313.2722	-313.91779	-314.40066	-0.64558501	0.48287069	-310.52455	-309.5934	-309.63466
6	346	-202.92771	-202.10587	-202.9741	0.82183718	0.86823302	-198.391	-196.75152	-196.74847
6	347	-366.09556	-364.41812	-365.29143	1.6774401	0.87330583	-363.63404	-355.90195	-355.91454
6	348	-487.28994	-484.03601	-484.19713	3.253934	0.16112444	-475.82166	-473.60028	-471.21918
6	349	-445.93589	-444.5058	-442.87361	1.430086	-1.6321908	-436.88423	-435.90214	-433.20618
6	350	-429.66984	-429.10598	-429.44936	0.56385356	0.34337706	-427.34322	-421.54051	-421.33084
6	351	-359.7767	-358.76297	-359.47351	1.0137354	0.710545	-357.21857	-352.09727	-351.29538
6	352	-591.64659	-590.44113	-581.73545	1.2054591	-8.7056887	-577.65638	-572.91152	-563.23653
6	353	-304.54885	-304.1668	-300.4308	0.38204838	-3.7359999	-301.79461	-297.36385	-289.41271
6	354	-264.6883	-264.81467	-265.22662	-0.12637355	0.41195375	-261.59759	-257.91702	-257.92923
6	355	-343.85666	-335.42754	-336.74938	8.4291237	1.3218384	-329.85371	-324.68449	-324.69164
6	356	-467.31045	-458.38929	-459.79922	8.9211657	1.4099327	-458.16149	-445.61789	-445.48159
6	357	-288.74582	-288.29879	-288.86288	0.44702854	0.56408714	-284.72183	-280.98883	-279.66015
6	358	-392.7224	-392.009	-391.42999	0.71340477	-0.57901172	-390.22104	-383.84221	-378.38438
6	359	-395.18696	-395.6287	-395.44352	-0.44174155	-0.18518482	-392.75161	-391.85292	-388.48644
6	360	-280.35083	-280.33782	-281.10687	0.013002881	0.76905174	-277.58845	-273.72924	-273.74669
6	361	-331.81176	-329.06183	-330.14176	2.7499275	1.0799255	-327.20835	-321.4646	-321.47129
6	362	-417.27668	-417.41867	-413.97088	-0.1419918	-3.447791	-411.89	-411.99302	-403.97949
6	363	-635.20959	-631.07147	-630.5125	4.1381215	-0.55897308	-619.72474	-607.89571	-608.11506
6	364	-280.71155	-280.94429	-281.30731	-0.23273376	0.36302496	-277.85154	-274.70419	-274.77159
6	365	-338.17069	-338.73106	-338.38949	-0.56037437	-0.34156996	-335.64542	-334.4328	-329.84774
6	366	-386.88489	-385.72572	-385.972	1.15917	0.2462754	-377.98855	-375.00367	-369.7702
6	367	-293.70919	-294.08027	-294.39857	-0.37107914	0.31830632	-285.26094	-285.67949	-285.68506
6	368	-436.40233	-433.33517	-433.81143	3.0671549	0.4762619	-426.03352	-421.36386	-419.02369
6	369	-423.28912	-420.69128	-421.00537	2.5978392	0.31408774	-420.70203	-409.19836	-409.6863
6	370	-395.53344	-396.07959	-396.4056	-0.54615005	0.32601136	-393.08558	-392.44174	-391.04398
6	371	-399.35401	-392.41663	-393.49507	6.9373748	1.0784359	-390.31717	-380.60346	-380.40335
6	372	-440.01249	-433.88532	-434.79039	6.1271645	0.90506892	-435.40787	-423.12971	-423.11778
6	373	-276.75992	-275.67257	-276.33597	1.0873534	0.66339768	-272.99199	-269.21419	-269.21036
6	374	-255.24309	-255.51151	-256.07894	-0.268416	0.5674301	-251.93031	-250.12839	-249.32345
6	375	-339.99931	-339.06179	-336.85483	0.93752392	-2.2069599	-333.02305	-331.94427	-322.71441
6	376	-475.64016	-472.76611	-472.95057	2.8740522	0.18446479	-470.37333	-460.43754	-455.10404
6	377	-422.64111	-422.17568	-422.79298	0.46543438	0.61729722	-416.33669	-412.34863	-412.33921
6	378	-281.67861	-282.03145	-282.63536	-0.35283541	0.60391355	-276.64183	-274.95991	-274.97004
6	379	-364.72031	-362.16866	-360.74089	2.5516468	-1.4277725	-362.18939	-352.55159	-344.97356
6	380	-489.03286	-487.31311	-488.39068	1.7197557	1.0775764	-481.05965	-476.14629	-476.20733
6	381	-460.22002	-449.79307	-451.45722	10.426954	1.6641587	-450.75905	-438.90041	-439.09331
6	382	-254.83027	-254.53558	-255.14084	0.29469264	0.60525903	-251.55468	-248.22866	-248.3124
6	383	-378.8363	-379.25521	-379.62838	-0.41891006	0.37317662	-375.56979	-373.11867	-374.18187
6	384	-335.24544	-330.42532	-331.53141	4.8201233	1.1060898	-332.64209	-322.10865	-322.10935
6	385	-302.88429	-302.3494	-302.52854	0.53488875	0.17914739	-300.11578	-295.1275	-292.58538
6	386	-321.51589	-321.71322	-322.14272	-0.19732093	0.42950907	-318.92384	-316.62892	-315.29391
6	387	-310.87505	-309.33643	-310.14454	1.5386239	0.80811806	-308.13898	-301.3106	-301.30534
6	388	-394.03032	-390.43775	-391.11264	3.5925662	0.67488637	-387.72484	-377.47775	-374.82758
6	389	-315.56618	-315.39347	-315.54249	0.17270646	0.14901281	-312.87971	-310.03402	-307.07478
6	390	-316.5873	-313.83449	-315.0431	2.7528148	1.2086103	-313.866	-303.32456	-303.09971
6	391	-253.29336	-253.31249	-254.00197	-0.019124751	0.68948087	-250.38815	-246.68704	-246.74847
6	392	-371.26883	-366.97389	-368.08153	4.2949367	1.1076442	-368.7941	-356.96607	-356.9852
6	393	-330.15127	-331.02534	-331.31026	-0.87407857	0.28491197	-326.95281	-327.37214	-327.22917
6	394	-201.10563	-201.2778	-201.71983	-0.17217353	0.44203149	-197.68155	-195.10288	-195.10182
6	395	-318.82733	-319.37223	-319.7913	-0.5449079	0.41906457	-312.66528	-311.76904	-311.82281
6	396	-374.48183	-373.3431	-372.99646	1.1387323	-0.34664123	-372.08035	-366.49227	-363.1433
6	397	-275.68335	-274.25725	-275.05441	1.4261046	0.79716444	-272.93697	-265.11093	-264.92382
6	398	-393.38642	-393.55084	-390.03267	-0.16442084	-3.5181791	-385.89075	-382.48449	-375.04073
6	399	-314.00477	-314.60436	-314.98654	-0.59959511	0.38217602	-311.46398	-310.63368	-310.63464
6	400	-439.03127	-436.42328	-436.99798	2.6079854	0.57469472	-436.78618	-430.42773	-429.8167
6	401	-337.19457	-333.98729	-335.08524	3.2072801	1.0979495	-332.65778	-322.8792	-322.87959
6	402	-413.24121	-412.425	-412.5593	0.81621127	0.13429672	-406.56437	-402.24569	-400.34691
6	403	-364.1772	-364.53224	-364.9848	-0.35504591	0.45255835	-359.66412	-357.85477	-357.36336
6	404	-388.49426	-381.92461	-381.28101	6.5696492	-0.64360587	-377.74282	-374.01345	-368.33178
6	405	-364.33751	-364.88641	-365.31433	-0.5489014	0.42791833	-358.65632	-356.47795	-356.45687
6	406	-190.60687	-190.6687	-191.06733	-0.061830433	0.3986334	-186.57488	-185.82053	-185.81738
6	407	-569.22525	-543.66106	-545.64283	25.564188	1.9817692	-555.20795	-525.83489	-525.7707
6	408	-617.18679	-615.94346	-608.88385	1.2433278	-7.0596048	-601.2357	-593.98125	-585.75713
6	409	-350.37296	-346.49334	-347.09895	3.8796206	0.60560531	-347.7763	-338.82176	-338.32079
6	410	-340.60483	-338.66878	-339.4545	1.936046	0.78572109	-335.77187	-329.0016	-328.23363
6	411	-313.68151	-308.27747	-309.0118	5.4040405	0.73432969	-309.90455	-302.40015	-302.40448
6	412	-396.75482	-393.22181	-388.72189	3.5330046	-4.4999282	-391.4605	-381.06906	-372.16003
6	413	-411.7059	-404.27221	-402.32022	7.4336995	-1.9519859	-403.77493	-393.08864	-387.16029
6	414	-568.8822	-564.74924	-559.81412	4.132965	-4.9351168	-552.73195	-543.8665	-537.68717
